date,ticker,open,high,low,close,volume,daily_return,log_return,return_lag_1,return_lag_3,return_lag_5,sma_5,sma_10,sma_20,sma_50,rsi,macd,macd_signal,macd_histogram,direction
2023-01-02,AAPL,298.68,299.98,297.91,298.32,4455736,,,,,,,,,,,0.0,0.0,0.0,0
2023-01-03,AAPL,299.46,300.85,298.99,299.47,4842514,0.0038549208903191357,0.0038475097229870533,,,,,,,,,0.09173789173786417,0.018347578347572835,0.07339031339029134,1
2023-01-04,AAPL,298.01,298.58,297.48,298.15,4797919,-0.004407787090526805,-0.0044175300244377064,0.0038549208903191357,,,,,,,,0.05726771698277844,0.026131606074613956,0.031136110908164483,0
2023-01-05,AAPL,299.5,300.09,299.04,299.14,1045665,0.0033204762703338275,0.003314975662065713,-0.004407787090526805,,,,,,,,0.1085829052290137,0.04262186590549391,0.0659610393235198,1
2023-01-06,AAPL,299.74,299.97,298.78,299.35,2635239,0.0007020124356489355,0.0007017661401806128,0.0033204762703338275,0.0038549208903191357,,298.886,,,,,0.16430183727112535,0.0669578601786202,0.09734397709250515,1
2023-01-09,AAPL,298.61,300.13,296.64,298.4,4567713,-0.0031735426757977248,-0.003178589041755431,0.0007020124356489355,-0.004407787090526805,,298.902,,,,,0.13030040981391267,0.07962637010567869,0.050674039708233976,0
2023-01-10,AAPL,298.68,299.62,297.55,299.53,4453383,0.003786863270777374,0.003779711154432883,-0.0031735426757977248,0.0033204762703338275,0.0038549208903191357,298.914,,,,,0.192318659984835,0.10216482808150995,0.09015383190332504,1
2023-01-11,AAPL,298.03,298.19,297.36,297.99,2052693,-0.005141388174807027,-0.0051546505886643145,0.003786863270777374,0.0007020124356489355,-0.004407787090526805,298.88199999999995,,,,,0.11586778863744485,0.10490542019269694,0.010962368444747905,0
2023-01-12,AAPL,299.17,299.56,297.99,298.19,4497132,0.000671163461861024,0.0006709383323915729,-0.005141388174807027,-0.0031735426757977248,0.0033204762703338275,298.692,,,,,0.07060436762583322,0.0980452096793242,-0.027440842053490982,1
2023-01-13,AAPL,299.19,299.25,297.36,297.99,1561157,-0.0006707133035983581,-0.0006709383323916662,0.000671163461861024,0.003786863270777374,0.0007020124356489355,298.41999999999996,298.65299999999996,,,,0.018382549253487923,0.08211267759415695,-0.06373012834066903,0
2023-01-16,AAPL,297.75,299.33,296.27,296.76,2342139,-0.004127655290446008,-0.004136197574049161,-0.0006707133035983581,-0.005141388174807027,-0.0031735426757977248,298.092,298.49699999999996,,,,-0.12086112667077487,0.0415179167411706,-0.16237904341194548,0
2023-01-17,AAPL,295.22,296.95,293.45,294.82,4645752,-0.006537269173743088,-0.006558730702193024,-0.004127655290446008,0.000671163461861024,0.003786863270777374,297.15,298.03200000000004,,,,-0.3833356747405787,-0.04345280155517927,-0.33988287318539945,0
2023-01-18,AAPL,294.25,295.98,292.57,294.02,2372242,-0.00271352011396786,-0.002717208383311948,-0.006537269173743088,-0.0006707133035983581,-0.005141388174807027,296.356,297.619,,,,-0.6484272930318298,-0.1644476998505094,-0.4839795931813204,0
